date,revenue,fees,expenses
2021-03-31,18100.77323849359,173429.21477395974,155328.44153546615
2021-04-01,24921.978397698254,235810.10136501235,210888.1229673141
2021-04-02,26584.182643890526,244321.22135073648,217737.03870684595
2021-04-03,26210.893998081294,245017.65648837428,218806.76249029298
2021-04-04,31923.35654751319,327151.33550507645,295227.9789575633
2021-04-05,33544.82196115428,325539.28029330744,291994.45833215315
2021-04-06,28175.961669311542,275330.61512209935,247154.6534527878
2021-04-07,22897.324267051146,229153.58421596914,206256.25994891798
2021-04-08,22181.16486099307,223776.66931873854,201595.50445774547
2021-04-09,19984.745181036335,196056.68433844094,176071.93915740462
2021-04-10,19774.29921100727,189603.99535331817,169829.6961423109
2021-04-11,26704.125981598656,253793.80712529412,227089.68114369546
2021-04-12,28001.95023346215,271819.2514499267,243817.30121646455
2021-04-13,25380.871542720244,248430.35320066553,223049.4816579453
2021-04-14,25208.716490962765,244543.59113889493,219334.87464793216
2021-04-15,33819.97005473488,309569.42510822846,275749.4550534936
2021-04-16,44894.17088445717,415379.8638371838,370485.6929527266
2021-04-17,45552.52651495865,417293.190362769,371740.66384781036
2021-04-18,37917.71434091098,341702.4275649148,303784.71322400385
2021-04-19,35961.91808032378,333281.6645901714,297319.74650984764
2021-04-20,34267.79401595122,310892.29260020144,276624.4985842502
2021-04-21,31951.0476341167,282453.94776908954,250502.90013497285
2021-04-22,32444.67116716887,278659.7676952686,246215.09652809973
2021-04-23,36370.97861437999,331066.17916280427,294695.20054842427
2021-04-24,32073.54729286131,265695.3886256142,233621.84133275293
2021-04-25,30608.728172938314,250629.36915221316,220020.64097927485
2021-04-26,33528.75573792295,301981.939072935,268453.18333501206
2021-04-27,47891.449806044926,464452.2626583746,416560.8128523297
2021-04-28,61876.28253402441,598119.7274174572,536243.4448834327
2021-04-29,69118.7104307374,652855.3202045889,583736.6097738516
2021-04-30,77560.76998183035,733908.7868561847,656348.0168743543
2021-05-01,89744.46193070748,853542.581554642,763798.1196239345
2021-05-02,106789.00540904772,1017867.3565525333,911078.3511434856
2021-05-03,92640.38461283264,869638.3919060912,776998.0072932586
2021-05-04,171989.28146909384,1665505.8154166506,1493516.5339475567
2021-05-05,140280.09392053256,1348006.3488796586,1207726.254959126
2021-05-06,126155.11437009918,1452239.7813413476,1326084.6669712483
2021-05-07,157475.75632229052,1518597.252739938,1361121.4964176475
2021-05-08,183296.46373105663,1774780.0773747787,1591483.6136437221
2021-05-09,171609.7959911698,1657350.2679480528,1485740.471956883
2021-05-10,132513.9634715549,1264144.550888496,1131630.587416941
2021-05-11,175984.32301404866,1711199.6732180433,1535215.3502039947
2021-05-12,173074.58752636285,1666622.3133215948,1493547.725795232
2021-05-13,210369.44176734047,2064931.4742347116,1854562.032467371
2021-05-14,171601.444151224,1760296.907853857,1588695.463702633
2021-05-15,180678.25992837021,1733180.3200223334,1552502.0600939633
2021-05-16,170965.76635061475,1644919.5304120765,1473953.7640614617
2021-05-17,136250.77512608902,1283294.882545665,1147044.1074195758
2021-05-18,130962.04299571976,1233600.3659182356,1102638.322922516
2021-05-19,127398.36225436835,1159856.5408427496,1032458.1785883813
2021-05-20,157735.14826742338,1653265.6186135572,1495530.4703461337
2021-05-21,140377.92288889224,1369121.7238338073,1228743.800944915
2021-05-22,114589.57321750847,1347444.4254428959,1232854.8522253875
2021-05-23,89344.6901300443,1171017.7089712103,1081673.018841166
